sm	R	N	dims	filename	mu	r	m	N	range1	range2	ntypes	sb	sm	nsteps	stepsize	sigma	final0	final1	final2	time0	time1	time2	size0	size1	size2	hit100.0	hit100.1	hit100.2
sm-.0001	R-10	N-100	2D	69091-r101-101-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	101	101	2	0.01	-1e-04	1000	25	0.742706471781286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sm-.0001	R-10	N-100	2D	69732-r101-101-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	101	101	2	0.01	-1e-04	1000	25	0.742706471781286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sm-.0001	R-10	N-100	2D	75161-r101-101-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	101	101	2	0.01	-1e-04	1000	25	0.742706471781286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sm-.0001	R-10	N-100	2D	76213-r101-101-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	101	101	2	0.01	-1e-04	1000	25	0.742706471781286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sm-.0001	R-10	N-100	2D	7821-r101-101-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	101	101	2	0.01	-1e-04	1000	25	0.742706471781286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sm-.0001	R-10	N-100	2D	82645-r101-101-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	101	101	2	0.01	-1e-04	1000	25	0.742706471781286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sm-.0001	R-10	N-100	2D	90444-r101-101-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	101	101	2	0.01	-1e-04	1000	25	0.742706471781286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sm-.0001	R-10	N-100	2D	93807-r101-101-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	101	101	2	0.01	-1e-04	1000	25	0.742706471781286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sm-.0001	R-10	N-100	2D	96210-r101-101-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	101	101	2	0.01	-1e-04	1000	25	0.742706471781286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sm-.0001	R-10	N-100	2D	96497-r101-101-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	101	101	2	0.01	-1e-04	1000	25	0.742706471781286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
