mu	sm	N	dims	filename	mu	r	m	N	range1	range2	ntypes	sb	sm	nsteps	stepsize	sigma	final0	final1	final2	time0	time1	time2	size0	size1	size2	hit100.0	hit100.1	hit100.2
mu1e-5	sm-.0001	N-100	1D	58524-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.524467339917329	0.94862555907332	NA	24975	6850	NA	402	99	NA	2500	3650	NA
mu1e-5	sm-.0001	N-100	1D	60316-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.482292517511943	0.869146690788482	NA	24975	6600	NA	402	99	NA	2175	3500	NA
mu1e-5	sm-.0001	N-100	1D	60919-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.280660132174946	0.963817277250113	NA	24975	6150	NA	402	99	NA	1350	2900	NA
mu1e-5	sm-.0001	N-100	1D	6306-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.466730773990743	0.95939142670486	NA	24975	7475	NA	402	99	NA	2050	4125	NA
mu1e-5	sm-.0001	N-100	1D	63065-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.396726318655479	0.938492889089904	NA	24975	7000	NA	402	99	NA	900	5175	NA
mu1e-5	sm-.0001	N-100	1D	64314-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.452904754832801	0.979499974873109	NA	24975	1825	NA	402	99	NA	225	275	NA
mu1e-5	sm-.0001	N-100	1D	65411-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.429035296156036	0.962723754962561	NA	24975	12725	NA	402	99	NA	6750	10950	NA
mu1e-5	sm-.0001	N-100	1D	67564-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.668115764461276	0.98834866073672	NA	24975	6375	NA	402	99	NA	1975	2625	NA
mu1e-5	sm-.0001	N-100	1D	68583-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.401063835053588	0.94123724810292	NA	24975	4150	NA	402	99	NA	825	2350	NA
mu1e-5	sm-.0001	N-100	1D	68586-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.489586148857702	0.937431026684758	NA	24975	4275	NA	402	99	NA	1225	2100	NA
mu1e-5	sm-.0001	N-100	1D	69286-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.360342689537388	0.953704708779336	NA	24975	12350	NA	402	99	NA	10400	10475	NA
mu1e-5	sm-.0001	N-100	1D	69336-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.398374173906586	0.915232926277702	NA	24975	3750	NA	402	99	NA	2625	2200	NA
mu1e-5	sm-.0001	N-100	1D	69730-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.248911536843147	0.947030504045429	NA	24975	8275	NA	402	99	NA	4700	5375	NA
